,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
155,kingscrushers-tactic-snacks-3/course/26568/,Kingscrusher's Tactic Snacks 3,Tactics course,"CM Kingscrusher (2535 Online Rating, 210 ECF, 2170 FIDE)",8.5,8.5,4,12,60,both pieces,1,1,1,0,0,English,"4,289",,250,23.72,"Aug 13, 2019",Medium,Titled player
156,kingscrushers-tactic-snacks-2/course/24573/,Kingscrusher's Tactic Snacks 2,Tactics course,"CM Kingscrusher (2535 Online Rating, 210 ECF, 2170 FIDE)",8.5,8.5,4,19,500,both pieces,1,1,1,0,0,English,"2,986",,250,24.98,"Jul 17, 2019",Medium,Titled player
157,tactics-training-mikhail-tal/course/10244/,Tactics Training - Mikhail Tal,Tactics course,New in Chess,8.5,8.5,4,27,35,both pieces,0,1,1,1,0,English,"1,819",,100,3.62,"Feb 23, 2018",Community,Publisher
158,knight-fork-trainer/course/15549/,Knight Fork Trainer,Tactics course,Benedictine (135 ECF),7.99,7.99,4,32,29,white pieces,1,1,1,0,0,English,"4,846",,95,1.23,"Oct 31, 2018",High,Community
159,paul-morphy-25-games-to-memorise/course/11229/,Paul Morphy - 25 Games to Memorise,Strategy course,Benedictine (135 ECF),7.99,7.99,4,50,64,both pieces,1,1,1,1,0,English,"5,953",,25,21.32,"May 08, 2018",High,Community
160,mop-up-the-morra/course/19264/,Mop Up the Morra,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE)",14.99,9.99,4,25,77,black pieces,0,1,1,1,0,No language,"31,012",,49,19.66,"Jul 08, 2019",High,Titled player
161,crush-the-london/course/18744/,Crush the London!,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE) officially endorsed",14.99,9.99,4,76,193,black pieces,0,1,1,1,0,No language,"14,172",,51,10.66,"Feb 04, 2019",High,Titled player
162,crush-the-taimanov/course/31372/,Crush the Taimanov!,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE)",14.99,9.99,4,11,20,white pieces,0,0,1,1,1,No language,"15,034",,100,18.03,"Jan 29, 2020",High,Titled player
163,thematic-tactics-rook-endgames/course/20098/,Thematic Tactics: Rook Endgames,Tactics/Endgame course,FM Martin Voigt & IM Dirk Sebastian (2452 FIDE),9.5,9.5,4,57,54,both pieces,0,1,1,1,1,English,"3,381",,104,2.7,"Mar 22, 2019",High,Titled player
164,reversing-and-forwarding-the-tactics-of-bobby-fischer/course/17025/,Reversing and Forwarding the Tactics of Bobby Fischer,Tactics course,AlanB,14.99,9.99,4,19,40,both pieces,1,1,1,0,0,English,"78,295",,1431,3.2,"May 24, 2019",High,Community
